latitude	longitude	100000kHz	200000kHz	300000kHz	400000kHz	500000kHz	600000kHz	700000kHz	800000kHz	900000kHz	1000000kHz	1100000kHz	1200000kHz	1300000kHz	1400000kHz	1500000kHz	1600000kHz	1700000kHz	1800000kHz	1900000kHz	2000000kHz	2100000kHz	2200000kHz	2300000kHz	2400000kHz	2500000kHz	2600000kHz
45.40931	-73.93831	-79	-91	-88	-95	-94	-96	-94	-96	-87	-98	-99	-97	-98	-97	-96	-95	-94	-91	-73	-95	-85	-93	-93	-89	-89	-89
45.40928	-73.93835	-93	-96	-91	-95	-95	-94	-97	-98	-97	-99	-99	-84	-96	-96	-97	-96	-94	-93	-77	-92	-79	-92	-93	-90	-87	-87
45.40934	-73.9384	-91	-94	-89	-94	-96	-92	-97	-97	-97	-97	-100	-89	-97	-98	-97	-96	-96	-93	-81	-94	-85	-93	-92	-90	-88	-87
45.40934	-73.93848	-90	-90	-93	-93	-95	-94	-93	-99	-97	-95	-100	-93	-98	-98	-96	-96	-95	-96	-83	-94	-87	-92	-93	-90	-87	-85
45.4094	-73.93855	-92	-90	-93	-92	-91	-96	-97	-98	-98	-98	-98	-95	-97	-97	-96	-96	-96	-93	-78	-95	-86	-91	-93	-90	-86	-88
45.40942	-73.93852	-90	-86	-89	-94	-94	-97	-91	-97	-97	-94	-99	-95	-98	-94	-96	-95	-97	-95	-81	-94	-81	-90	-92	-90	-89	-86
45.40946	-73.9385	-89	-86	-89	-94	-93	-98	-92	-96	-97	-97	-99	-97	-96	-97	-96	-96	-96	-94	-87	-94	-85	-93	-92	-90	-88	-88
45.4095	-73.93851	-88	-87	-91	-95	-94	-98	-95	-98	-98	-97	-99	-98	-98	-98	-95	-95	-95	-93	-80	-91	-82	-92	-93	-90	-88	-79
45.40957	-73.93851	-89	-87	-91	-93	-93	-94	-94	-94	-97	-95	-99	-92	-95	-98	-96	-95	-96	-95	-81	-91	-80	-93	-92	-90	-88	-84
45.40956	-73.93845	-94	-95	-92	-95	-95	-98	-95	-98	-97	-98	-101	-97	-97	-97	-96	-95	-94	-95	-82	-95	-82	-93	-92	-88	-88	-88
45.40955	-73.93835	-92	-87	-85	-93	-94	-95	-91	-95	-97	-96	-99	-98	-98	-95	-95	-96	-95	-94	-77	-94	-80	-91	-91	-90	-88	-89
45.40959	-73.9383	-94	-90	-88	-91	-85	-96	-94	-94	-97	-98	-97	-95	-97	-97	-95	-96	-96	-93	-67	-91	-78	-90	-93	-90	-88	-88
45.4096	-73.93826	-94	-91	-94	-94	-92	-93	-98	-98	-97	-99	-92	-98	-97	-95	-96	-95	-94	-93	-80	-93	-82	-91	-92	-89	-88	-87
45.4096	-73.93821	-91	-91	-90	-93	-96	-90	-95	-98	-98	-97	-92	-98	-98	-98	-97	-95	-95	-95	-78	-93	-80	-92	-93	-88	-88	-88
45.40961	-73.93814	-90	-93	-91	-93	-95	-90	-97	-96	-97	-97	-100	-97	-98	-97	-96	-95	-96	-94	-68	-93	-80	-91	-91	-89	-89	-85
45.40968	-73.93811	-88	-93	-90	-94	-93	-95	-90	-94	-96	-97	-97	-97	-98	-97	-96	-95	-95	-93	-76	-92	-67	-92	-92	-89	-87	-86
45.40965	-73.93803	-93	-96	-91	-94	-94	-98	-98	-98	-97	-97	-100	-97	-98	-98	-96	-96	-96	-94	-73	-93	-74	-91	-92	-88	-87	-81
45.40964	-73.93794	-95	-93	-84	-93	-88	-94	-89	-94	-98	-96	-98	-83	-96	-97	-95	-95	-95	-93	-66	-92	-73	-92	-90	-91	-88	-87
45.40963	-73.93788	-91	-94	-88	-94	-90	-97	-95	-97	-97	-98	-101	-98	-97	-97	-95	-96	-97	-95	-79	-93	-83	-92	-93	-89	-87	-86
45.40963	-73.93781	-91	-89	-90	-82	-94	-97	-96	-98	-96	-96	-98	-98	-97	-99	-97	-96	-96	-95	-80	-94	-78	-87	-92	-89	-88	-84
45.40962	-73.93774	-94	-94	-93	-96	-90	-97	-95	-98	-97	-95	-97	-97	-98	-98	-94	-95	-95	-92	-76	-94	-80	-92	-91	-89	-89	-88
