latitude,longitude,100000kHz,200000kHz,300000kHz,400000kHz,500000kHz,600000kHz,700000kHz,800000kHz,900000kHz,1000000kHz,1100000kHz,1200000kHz,1300000kHz,1400000kHz,1500000kHz,1600000kHz,1700000kHz,1800000kHz,1900000kHz,2000000kHz,2100000kHz,2200000kHz,2300000kHz,2400000kHz,2500000kHz,2600000kHz
45.40966,-73.93764,-86,-88,-90,-86,-83,-89,-96,-91,-84,-97,-100,-96,-96,-96,-96,-95,-94,-93,-78,-91,-72,-92,-91,-90,-86,-87,
45.40966,-73.93764,-89,-91,-88,-88,-89,-91,-86,-96,-89,-96,-98,-98,-96,-98,-96,-96,-92,-95,-82,-91,-79,-92,-93,-85,-88,-88,
45.40966,-73.93759,-86,-78,-90,-95,-86,-90,-91,-97,-93,-97,-99,-98,-98,-98,-94,-96,-93,-93,-78,-92,-86,-93,-92,-89,-88,-87,
45.40960,-73.93759,-72,-79,-68,-79,-82,-92,-93,-93,-92,-97,-97,-98,-96,-93,-94,-93,-92,-93,-75,-90,-70,-92,-87,-89,-87,-88,
45.40956,-73.93759,-91,-91,-89,-82,-87,-93,-92,-92,-87,-98,-98,-98,-97,-97,-96,-95,-94,-93,-74,-93,-74,-90,-91,-89,-85,-88,
45.40955,-73.93758,-80,-88,-88,-74,-90,-96,-90,-93,-86,-97,-98,-98,-97,-97,-97,-94,-95,-94,-75,-93,-75,-92,-91,-91,-86,-87,
45.40952,-73.93758,-86,-85,-91,-94,-90,-91,-89,-94,-87,-95,-98,-99,-98,-95,-96,-95,-90,-94,-80,-86,-69,-92,-91,-90,-88,-87,
45.40948,-73.93766,-88,-86,-88,-92,-95,-95,-92,-98,-85,-96,-98,-99,-96,-97,-92,-94,-93,-93,-80,-91,-79,-93,-92,-91,-87,-88,
45.40948,-73.93774,-93,-88,-89,-94,-86,-94,-91,-95,-94,-97,-96,-97,-97,-97,-95,-95,-91,-94,-75,-87,-70,-92,-94,-87,-82,-88,
45.40943,-73.93772,-92,-94,-92,-93,-88,-97,-96,-97,-93,-98,-98,-98,-98,-98,-96,-95,-94,-95,-76,-90,-76,-92,-93,-90,-87,-86,
45.40943,-73.93779,-91,-89,-89,-93,-89,-94,-91,-92,-82,-97,-94,-98,-97,-94,-96,-95,-92,-94,-77,-89,-68,-93,-91,-90,-87,-87,
45.40943,-73.93786,-72,-80,-68,-80,-88,-93,-92,-95,-88,-96,-95,-97,-94,-94,-95,-95,-93,-93,-78,-90,-74,-92,-92,-90,-88,-84,
