latitude,longitude,100000kHz,200000kHz,300000kHz,400000kHz,500000kHz,600000kHz,700000kHz,800000kHz,900000kHz,1000000kHz,1100000kHz,1200000kHz,1300000kHz,1400000kHz,1500000kHz,1600000kHz,1700000kHz,1800000kHz,1900000kHz,2000000kHz,2100000kHz,2200000kHz,2300000kHz,2400000kHz,2500000kHz,2600000kHz
45.40920,-73.93793,-68,-92,-88,-84,-86,-77,-94,-92,-88,-98,-99,-97,-96,-93,-97,-94,-94,-90,-79,-92,-80,-92,-90,-90,-88,-87,
45.40926,-73.93792,-73,-92,-88,-90,-92,-74,-90,-95,-92,-99,-98,-99,-97,-97,-96,-96,-95,-93,-75,-90,-69,-92,-93,-90,-89,-82,
45.40951,-73.93764,-83,-90,-86,-67,-86,-84,-82,-91,-87,-98,-97,-98,-95,-96,-96,-95,-93,-94,-72,-90,-85,-91,-92,-89,-87,-82,
45.40956,-73.93770,-79,-90,-87,-74,-87,-81,-82,-95,-90,-96,-98,-97,-97,-94,-95,-94,-94,-93,-73,-90,-73,-91,-92,-90,-86,-85,
45.40950,-73.93778,-72,-93,-88,-83,-89,-73,-80,-92,-80,-97,-91,-98,-95,-96,-96,-95,-93,-91,-64,-89,-64,-90,-90,-89,-87,-87,
45.40947,-73.93785,-80,-92,-87,-92,-86,-82,-83,-91,-86,-97,-93,-98,-97,-93,-94,-95,-94,-92,-64,-89,-70,-90,-89,-90,-85,-88,
45.40947,-73.93789,-72,-90,-86,-91,-88,-83,-85,-92,-91,-97,-96,-98,-97,-95,-94,-95,-91,-95,-63,-92,-68,-89,-91,-88,-88,-83,
45.40957,-73.93800,-76,-90,-87,-94,-90,-78,-94,-95,-87,-97,-98,-97,-95,-96,-93,-96,-93,-92,-69,-91,-67,-93,-90,-88,-88,-86,
45.40957,-73.93800,-85,-90,-87,-70,-88,-88,-89,-94,-87,-97,-96,-98,-97,-96,-95,-93,-91,-93,-63,-87,-69,-91,-91,-89,-88,-83,
45.40952,-73.93804,-81,-91,-88,-76,-88,-80,-79,-90,-93,-97,-90,-98,-96,-96,-96,-95,-95,-92,-65,-87,-62,-92,-91,-88,-86,-81,
45.40946,-73.93803,-63,-90,-87,-89,-85,-80,-87,-88,-81,-96,-92,-97,-95,-93,-94,-96,-91,-92,-63,-88,-63,-91,-91,-89,-83,-85,
