latitude,longitude,100000kHz,200000kHz,300000kHz,400000kHz,500000kHz,600000kHz,700000kHz,800000kHz,900000kHz,1000000kHz,1100000kHz,1200000kHz,1300000kHz,1400000kHz,1500000kHz,1600000kHz,1700000kHz,1800000kHz,1900000kHz,2000000kHz,2100000kHz,2200000kHz,2300000kHz,2400000kHz,2500000kHz,2600000kHz
45.43651,-73.93557,-84,-89,-89,-89,-75,-84,-95,-97,-96,-93,-99,-100,-98,-98,-95,-94,-93,-93,-90,-91,-91,-90,-91,-89,-87,-88,
45.43658,-73.93562,-86,-90,-91,-75,-79,-86,-96,-95,-95,-96,-100,-98,-98,-98,-95,-95,-93,-91,-86,-89,-91,-92,-92,-88,-87,-87,
45.43667,-73.93568,-86,-87,-90,-83,-84,-88,-92,-97,-95,-97,-99,-98,-98,-98,-94,-94,-94,-95,-86,-90,-88,-92,-91,-86,-86,-88,
45.43676,-73.93573,-87,-90,-90,-81,-81,-87,-95,-97,-92,-98,-99,-99,-97,-98,-96,-91,-92,-95,-86,-92,-90,-91,-91,-89,-87,-88,
45.43684,-73.93578,-86,-85,-88,-82,-79,-85,-98,-96,-91,-96,-99,-98,-98,-97,-95,-94,-94,-92,-87,-88,-87,-92,-93,-89,-87,-86,
45.43690,-73.93587,-88,-86,-89,-81,-76,-94,-92,-96,-96,-96,-101,-99,-99,-98,-96,-94,-92,-93,-82,-91,-86,-93,-91,-89,-88,-86,
45.43690,-73.93599,-88,-90,-89,-92,-81,-90,-96,-96,-93,-96,-101,-98,-98,-98,-94,-93,-95,-93,-86,-89,-90,-92,-91,-90,-89,-88,
45.43687,-73.93607,-88,-91,-90,-90,-80,-87,-91,-96,-94,-97,-99,-98,-98,-98,-96,-95,-96,-94,-85,-87,-89,-91,-91,-90,-89,-87,
45.43683,-73.93615,-91,-91,-88,-92,-78,-94,-94,-97,-92,-97,-99,-99,-97,-97,-94,-94,-93,-95,-83,-91,-88,-90,-92,-89,-87,-86,
45.43681,-73.93627,-83,-93,-90,-91,-74,-93,-94,-95,-95,-97,-97,-97,-98,-97,-95,-95,-92,-91,-88,-92,-85,-92,-92,-91,-87,-85,
45.43679,-73.93633,-86,-88,-88,-91,-76,-92,-90,-91,-92,-97,-96,-99,-98,-97,-94,-94,-95,-93,-82,-91,-88,-88,-92,-88,-89,-87,
45.43674,-73.93645,-88,-91,-91,-92,-77,-95,-96,-94,-96,-96,-99,-98,-97,-98,-95,-93,-93,-94,-85,-91,-86,-91,-92,-90,-89,-88,
45.43671,-73.93654,-89,-90,-87,-86,-73,-93,-93,-94,-89,-97,-100,-99,-97,-97,-95,-95,-93,-93,-83,-87,-87,-92,-93,-88,-84,-88,
45.43670,-73.93663,-88,-87,-90,-90,-76,-86,-97,-96,-97,-98,-98,-99,-99,-97,-94,-93,-93,-90,-83,-90,-89,-92,-92,-90,-88,-89,
45.43664,-73.93672,-92,-90,-91,-91,-77,-94,-96,-92,-92,-96,-99,-99,-98,-98,-96,-93,-94,-93,-82,-92,-85,-88,-92,-91,-88,-87,
45.43662,-73.93683,-88,-89,-89,-91,-76,-95,-97,-91,-96,-97,-100,-100,-98,-97,-93,-94,-92,-93,-90,-89,-89,-91,-93,-88,-87,-88,
45.43655,-73.93699,-89,-93,-90,-91,-75,-92,-93,-97,-96,-96,-99,-98,-98,-98,-96,-95,-93,-95,-85,-92,-89,-91,-92,-87,-88,-89,
45.43655,-73.93710,-87,-89,-90,-89,-75,-92,-97,-94,-98,-96,-100,-100,-97,-96,-94,-94,-94,-94,-85,-88,-89,-92,-92,-88,-88,-87,
45.43655,-73.93726,-86,-89,-89,-76,-79,-94,-96,-95,-95,-97,-99,-98,-97,-98,-95,-95,-93,-94,-89,-92,-89,-91,-92,-90,-88,-87,
45.43654,-73.93774,-88,-89,-88,-91,-75,-92,-96,-93,-97,-95,-98,-98,-97,-96,-94,-95,-94,-94,-89,-90,-91,-92,-92,-90,-87,-88,
45.43652,-73.93748,-88,-90,-89,-86,-71,-94,-97,-97,-94,-97,-98,-100,-97,-97,-94,-95,-93,-94,-93,-91,-90,-90,-92,-91,-87,-87,
45.43647,-73.93763,-88,-91,-90,-88,-76,-90,-98,-97,-97,-94,-97,-99,-96,-98,-95,-95,-94,-94,-84,-91,-89,-92,-92,-89,-86,-88,
45.43644,-73.93776,-88,-92,-91,-87,-77,-92,-96,-95,-96,-97,-99,-100,-98,-97,-94,-94,-92,-93,-88,-87,-92,-92,-93,-89,-87,-88,
45.43643,-73.93787,-87,-95,-90,-91,-77,-94,-97,-95,-97,-97,-98,-99,-99,-98,-95,-93,-92,-93,-89,-93,-90,-91,-92,-88,-87,-88,
45.43637,-73.93804,-91,-93,-90,-93,-82,-93,-96,-97,-98,-97,-99,-99,-97,-98,-96,-96,-94,-94,-82,-94,-90,-92,-92,-90,-87,-87,
45.43631,-73.93819,-87,-90,-87,-92,-79,-94,-97,-92,-97,-95,-98,-99,-96,-98,-95,-95,-92,-94,-83,-89,-90,-93,-93,-91,-88,-87,
45.43627,-73.93829,-89,-90,-87,-92,-80,-91,-97,-90,-97,-97,-99,-99,-97,-99,-95,-94,-92,-95,-86,-89,-92,-93,-89,-90,-87,-88,
45.43624,-73.93842,-89,-90,-87,-89,-77,-95,-96,-92,-93,-95,-100,-99,-96,-98,-93,-95,-94,-94,-86,-92,-89,-91,-92,-88,-88,-84,
45.43618,-73.93855,-87,-91,-85,-89,-78,-94,-96,-88,-94,-97,-98,-99,-97,-97,-94,-95,-93,-94,-83,-92,-90,-92,-92,-88,-88,-88,
45.43613,-73.93864,-87,-89,-85,-86,-82,-95,-97,-94,-95,-95,-99,-99,-97,-97,-95,-96,-92,-96,-82,-93,-89,-91,-92,-90,-88,-89,
45.43610,-73.93877,-87,-87,-87,-92,-79,-95,-97,-94,-94,-95,-99,-99,-97,-98,-92,-95,-92,-94,-84,-90,-85,-90,-92,-88,-89,-89,
45.43607,-73.93880,-78,-83,-86,-86,-72,-85,-97,-94,-97,-96,-97,-99,-96,-99,-92,-94,-94,-93,-83,-86,-88,-91,-90,-87,-86,-87,
45.43599,-73.93883,-87,-89,-89,-89,-73,-85,-98,-92,-97,-95,-98,-97,-96,-98,-95,-92,-94,-94,-83,-91,-87,-87,-91,-89,-87,-86,
45.43615,-73.93856,-90,-89,-88,-90,-67,-93,-96,-97,-97,-96,-100,-98,-94,-98,-92,-92,-91,-95,-87,-89,-90,-92,-92,-88,-87,-88,
45.43618,-73.93842,-87,-88,-90,-88,-74,-96,-96,-96,-96,-98,-100,-98,-98,-95,-95,-95,-91,-94,-79,-92,-90,-91,-92,-89,-88,-87,
45.43623,-73.93828,-84,-89,-91,-91,-73,-95,-95,-95,-94,-95,-98,-98,-98,-98,-94,-91,-93,-94,-77,-88,-84,-92,-92,-90,-88,-85,
45.43631,-73.93808,-87,-87,-90,-88,-67,-95,-96,-97,-96,-95,-99,-99,-98,-97,-93,-94,-95,-94,-79,-90,-83,-91,-92,-89,-87,-88,
45.43653,-73.93691,-87,-82,-91,-89,-86,-87,-95,-97,-97,-96,-98,-99,-97,-97,-94,-93,-94,-93,-81,-88,-86,-89,-92,-89,-87,-86,
45.43651,-73.93671,-87,-87,-91,-90,-85,-92,-94,-92,-98,-96,-98,-98,-97,-97,-95,-94,-92,-93,-87,-87,-83,-92,-91,-91,-87,-87,
45.43647,-73.93655,-87,-87,-89,-88,-77,-86,-96,-95,-96,-96,-99,-99,-96,-96,-93,-91,-95,-93,-85,-89,-85,-91,-92,-90,-88,-88,
45.43643,-73.93640,-88,-85,-89,-88,-77,-90,-96,-95,-95,-97,-99,-98,-98,-97,-96,-95,-93,-93,-80,-92,-88,-92,-91,-89,-88,-88,
45.43387,-73.93398,-94,-93,-90,-90,-82,-97,-97,-97,-96,-96,-98,-99,-97,-98,-95,-95,-90,-94,-88,-90,-91,-92,-92,-91,-88,-87,
45.43383,-73.93410,-88,-93,-91,-91,-85,-97,-97,-96,-97,-99,-97,-99,-98,-98,-94,-96,-94,-96,-92,-89,-91,-91,-93,-88,-89,-86,
45.43379,-73.93423,-89,-91,-91,-82,-84,-94,-96,-98,-95,-97,-99,-99,-95,-96,-95,-95,-93,-94,-89,-91,-90,-92,-91,-87,-88,-86,
45.43377,-73.93433,-94,-94,-91,-83,-85,-95,-96,-97,-96,-96,-100,-99,-96,-97,-94,-96,-95,-89,-87,-90,-91,-90,-91,-88,-88,-87,
45.43372,-73.93447,-87,-93,-89,-91,-86,-90,-97,-97,-95,-98,-99,-99,-98,-99,-94,-96,-92,-94,-85,-91,-92,-92,-92,-88,-89,-86,
45.43365,-73.93464,-90,-95,-92,-89,-80,-95,-97,-96,-95,-96,-96,-99,-97,-97,-91,-93,-95,-93,-90,-92,-91,-91,-92,-90,-87,-88,
